"id","authorYear","isCyclo","xCyc","xCycHighDose","xTax","xTaxHighDose","isAnthra","isTaxane","isFluoro","nITT","medianFU","malType","malN","py","rate","x","xHighDose"
"1040","Citron (2003)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,484,36,"AML or MDS",2,1452,13.7741046831956,7,TRUE
"1040","Citron (2003)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,493,36,"AML or MDS",3,1479,20.2839756592292,7,TRUE
"1040","Citron (2003)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,501,36,"AML or MDS",4,1503,26.6134397870925,7,TRUE
"1040","Citron (2003)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,495,36,"AML or MDS",2,1485,13.4680134680135,7,TRUE
"2016","Del Mastro (2015)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,545,84,"AML or MDS",0,3815,0,7,TRUE
"2016","Del Mastro (2015)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,TRUE,544,84,"AML or MDS",0,3808,0,7,TRUE
"2016","Del Mastro (2015)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,502,84,"AML or MDS",2,3514,5.69151963574274,7,TRUE
"2016","Del Mastro (2015)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,TRUE,500,84,"AML or MDS",0,3500,0,7,TRUE
"2000","Eiermann (2011)",TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,1649,65,"AML or MDS",2,8932.08333333333,2.23911927974997,4,FALSE
"2000","Eiermann (2011)",TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,1649,65,"AML or MDS",4,8932.08333333333,4.47823855949993,4.5,FALSE
"1884","Mackey (2013)",TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,745,124,"AML or MDS",6,7698.33333333333,7.79389478242044,4.5,FALSE
"1843","Mamounas (2005)",TRUE,2.4,TRUE,9,TRUE,TRUE,TRUE,FALSE,1531,65,"AML or MDS",6,8292.91666666667,7.23509018740893,9,TRUE
"1399","Martin (2010)",TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,539,77,"AML or MDS",0,3458.58333333333,0,4.5,FALSE
"2002","Martin (2013)",TRUE,2,FALSE,8,TRUE,TRUE,TRUE,TRUE,951,63.3,"AML or MDS",1,5016.525,1.99341177408664,8,TRUE
"2003","Moore (2007)",TRUE,0.9,FALSE,6,TRUE,TRUE,TRUE,FALSE,271,70,"AML or MDS",2,1580.83333333333,12.6515550869794,6,TRUE
"2049","Nitz (2014)",TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,978,59,"AML or MDS",2,4808.5,4.15930123739212,4,FALSE
"1844","Roche (2006)",TRUE,1.5,FALSE,3,FALSE,TRUE,TRUE,TRUE,1003,60,"AML or MDS",1,5015,1.99401794616152,3,FALSE
"2009","Romond (2005)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,872,28.8,"AML or MDS",2,2092.8,9.5565749235474,7,TRUE
"2009","Romond (2005)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,864,28.8,"AML or MDS",1,2073.6,4.82253086419753,7,TRUE
"2011","Swain (2013)",TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,1630,64,"AML or MDS",5,8693.33333333333,5.75153374233129,4.5,FALSE
"2011","Swain (2013)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,1634,64,"AML or MDS",8,8714.66666666667,9.17992656058752,7,TRUE
"2011","Swain (2013)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,1630,64,"AML or MDS",11,8693.33333333333,12.6533742331288,7,TRUE
"1598","Vici (2012)",TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,368,64,"AML or MDS",0,1962.66666666667,0,4,FALSE
