id,authorYear,isCyclo,xCyc,isCycHighDose,xTax,isTaxDoseHigh,isTaxDoseLow,isDocetaxel,isPaclitaxel,isAnthra,isTaxane,isNoTaxane,isFluoro,nITT,medianFU,malType,malN,py,rate,color
970,Bergh (2000),TRUE,1.2,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,274,38.3,Non-Breast Solid,1,874.516666666667,11.4348878428084,A
1035,Bernard-Marty (2003),TRUE,4,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,267,73,Non-Breast Solid,4,1624.25,24.6267508080653,A
1035,Bernard-Marty (2003),TRUE,6.64,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,255,73,Non-Breast Solid,6,1551.25,38.6784850926672,A
1997,Bonneterre (2005),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,289,110,Non-Breast Solid,11,2649.16666666667,41.522491349481,A
1997,Bonneterre (2005),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,276,110,Non-Breast Solid,15,2530,59.2885375494071,A
1854,Coombes (1996),TRUE,4.8,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,180,58,Non-Breast Solid,2,870,22.9885057471264,A
1847,Fumoleu (2003),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,212,131,Non-Breast Solid,5,2314.33333333333,21.6044937346968,A
1847,Fumoleu (2003),TRUE,1.5,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,209,131,Non-Breast Solid,4,2281.58333333333,17.5316848679645,A
1847,Fumoleu (2003),TRUE,1.5,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,200,131,Non-Breast Solid,2,2183.33333333333,9.16030534351145,A
1939,Linden (2007),TRUE,7.2,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1590,86.4,Non-Breast Solid,50,11448,43.675751222921,A
1939,Linden (2007),TRUE,7.2,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1524,86.4,Non-Breast Solid,51,10972.8,46.4785651793526,A
1399,Martin (2010),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,521,77,Non-Breast Solid,16,3343.08333333333,47.8600094722935,A
2002,Martin (2013),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,974,63.3,Non-Breast Solid,10,5137.85,19.4633942213183,A
926,Misset (1996),TRUE,14.4,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,137,190.8,Non-Breast Solid,3,2178.3,13.7722076848919,A
2049,Nitz (2014),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,795,59,Non-Breast Solid,4,3908.75,10.2334505916214,A
2008,Roche (2006),TRUE,3,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,169,83,Non-Breast Solid,3,1168.91666666667,25.6647893348542,A
1141,Venturini (2005),TRUE,3.6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,604,124.8,Non-Breast Solid,17,6281.6,27.06316861946,A
1141,Venturini (2005),TRUE,3.6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,610,124.8,Non-Breast Solid,14,6344,22.0680958385876,A
1598,Vici (2012),TRUE,2.4,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,360,64,Non-Breast Solid,4,1920,20.8333333333333,A
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,484,36,Non-Breast Solid,4,1452,27.5482093663912,B
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,493,36,Non-Breast Solid,11,1479,74.3745774171738,B
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,501,36,Non-Breast Solid,2,1503,13.3067198935462,B
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,495,36,Non-Breast Solid,11,1485,74.0740740740741,B
2002,Martin (2013),TRUE,2,FALSE,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,951,63.3,Non-Breast Solid,9,5016.525,17.9407059667798,B
2009,Romond (2005),TRUE,2.4,TRUE,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,872,28.8,Non-Breast Solid,13,2092.8,62.1177370030581,B
2009,Romond (2005),TRUE,2.4,TRUE,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,864,28.8,Non-Breast Solid,4,2073.6,19.2901234567901,B
2000,Eiermann (2011),TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1649,65,Non-Breast Solid,34,8932.08333333333,38.0650277557494,C
2000,Eiermann (2011),TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1649,65,Non-Breast Solid,31,8932.08333333333,34.7063488361245,C
1399,Martin (2010),TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,539,77,Non-Breast Solid,9,3458.58333333333,26.0222152615474,C
2049,Nitz (2014),TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,978,59,Non-Breast Solid,9,4808.5,18.7168555682645,C
1598,Vici (2012),TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,368,64,Non-Breast Solid,4,1962.66666666667,20.3804347826087,C
