id,authorYear,isCyclo,xCyc,xCycHighDose,xTax,xTaxHighDose,isAnthra,isTaxane,isFluoro,nITT,medianFU,malType,malN,py,rate,drug,x,xHighDose
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,484,36,Non-Breast Solid,4,1452,27.5482093663912,Taxane,7,TRUE
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,493,36,Non-Breast Solid,11,1479,74.3745774171738,Taxane,7,TRUE
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,501,36,Non-Breast Solid,2,1503,13.3067198935462,Taxane,7,TRUE
1040,Citron (2003),TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,495,36,Non-Breast Solid,11,1485,74.0740740740741,Taxane,7,TRUE
2000,Eiermann (2011),TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,1649,65,Non-Breast Solid,34,8932.08333333333,38.0650277557494,Taxane,4,FALSE
2000,Eiermann (2011),TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,1649,65,Non-Breast Solid,31,8932.08333333333,34.7063488361245,Taxane,4.5,FALSE
1399,Martin (2010),TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,539,77,Non-Breast Solid,9,3458.58333333333,26.0222152615474,Taxane,4.5,FALSE
2002,Martin (2013),TRUE,2,FALSE,8,TRUE,TRUE,TRUE,TRUE,951,63.3,Non-Breast Solid,9,5016.525,17.9407059667798,Taxane,8,TRUE
2049,Nitz (2014),TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,978,59,Non-Breast Solid,9,4808.5,18.7168555682645,Taxane,4,FALSE
2009,Romond (2005),TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,872,28.8,Non-Breast Solid,13,2092.8,62.1177370030581,Taxane,7,TRUE
2009,Romond (2005),TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,864,28.8,Non-Breast Solid,4,2073.6,19.2901234567901,Taxane,7,TRUE
1598,Vici (2012),TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,368,64,Non-Breast Solid,4,1962.66666666667,20.3804347826087,Taxane,4,FALSE
